"id","db","song","tag"
"1831","1","1242","X generation"
"1830","1","1242","beat generation"
"1832","2","390","acoustic"
"1833","2","390","sample"
"1834","2","390","violin"
"1839","1","2736","repetitive"
"1840","1","2736","trance"
"1841","1","2736","piano"
"1842","1","2736","sped up"
"1847","1","2733","distorted vocals"
"1846","1","2733","slow"
"1848","1","2733","mashup"
"1849","1","2569","funk"
"1850","1","2569","fast"
"1851","1","2569","sped up"
"1852","1","1818","hokey"
"1853","1","1818","old school"
"1854","1","363","discordant"
"1855","1","363","beepy"
"1856","1","363","out of sync"
"1857","1","1357","slow"
"1858","1","1357","distorted"
"1859","1","1357","discordant"
"1860","2","400","Trezire"
"1861","2","400","Lame"
"1862","2","400","Shitty Synth"
"1863","2","400","Something I can never ha"
"1866","2","398","clubbing"
"1865","1","2687","Trent on Prozac?"
"1867","2","398","club"
"1868","2","98","great"
"1869","1","1242","beat generation"
"1870","2","381","INCREDIBLE BEAT!"
"1871","1","804","mashup"
"1872","1","597","only time"
"1873","1","597","only"
"1874","1","597","down in it"
"1875","1","1242","beat generation"
"1876","2","387","Industrial Rock"
"1881","1","2750","Tag 1"
"1880","1","2750","tag1"
"1882","1","2750","TAGS 2"
"1884","1","2754","heavy loud distorted"
"1885","1","2754","moog industrial siren"
"1886","1","2505","only"
"1887","1","2505","remix"
"1888","1","2569","Techno"
"1889","2","280","fucknut"
"1890","2","98","ninmashup"
"1892","1","2075","Techno"
"1893","1","2747","New Wave"
"1894","1","2744","Modern"
"1896","1","2376","Retro"
"1901","1","2761","Techno"
"2498","1","2057","Get the f outta here!"
"1902","1","2761","Techno"
"1903","1","2744","sick"
"1904","1","2768","beats and organ"
"1905","2","407","Industrial"
"1906","2","407","instrumental"
"1907","2","256","Very interesting"
"1909","2","123","mashup"
"1910","2","123","bizare"
"1911","1","2777","glitch"
"3428","0","0",
"3426","0","0",
"3427","0","0",
"1915","0","0",
"1916","1","2489","Brilliant!!!"
"1919","0","0","''-"
"1920","0","0","'-"
"1921","1","2784","'-"
"1922","1","2099","'-"
"1938","1","2052","Beginning sound Live"
"1933","1","2618","Very fluent"
"1932","1","2618","Great Solo"
"1927","1","1963","luv the ending"
"1929","1","2386","awsome randomness"
"1930","1","2386","Very trippy"
"1931","1","1951","Awesome"
"1934","1","2618","Well Arranged with The S"
"1937","1","2052","Intro Is Like NIN Live"
"1939","1","2052","Sounds Like Something Th"
"1940","2","354","stupid"
"1941","1","1596","lucky !"
"1942","1","1596","Y34RZ3R0R3M1X3D"
"1943","1","2783","Awesome"
"1944","1","2099","Epic"
"1945","1","2099","Orchestra"
"1946","1","2099","Dracula"
"1947","1","2770","Techno"
"2107","1","2787","alex0120129295587"
"1950","1","2789","Awesome arrangment"
"1951","1","2771","Voodoo"
"1952","1","2774","Burnt Offering"
"1953","1","2768","My Type of sickness"
"1954","1","2764","Trance"
"2104","2","419",
"2103","2","419","alex0120129295587"
"1958","1","1596","hardcore gabba"
"1999","1","2791","Ringfinger"
"2000","1","2791","smart"
"2001","1","2791","Something I Can Never Ha"
"2002","1","2791","Terrible Lie"
"2003","1","2791","The Great Below"
"1995","1","2791","god given"
"1996","1","2791","Head Like a Hole"
"1997","1","2791","Heresy"
"1998","1","2791","Into The Void"
"1973","1","2784","12 Bar Blues???"
"1972","1","2052","Perfect for mixed media"
"1974","1","2790","Techno"
"1975","1","2786","interesting"
"1994","1","2791","fresh. mashup"
"1993","1","2791","cool"
"1992","1","2791","Closer"
"1991","1","2791","mashup"
"2004","1","2791","The Hand That Feeds"
"2005","1","2791","Vessel"
"2006","1","893","tag4"
"2007","1","2805","Techno"
"2009","1","2799","tag1"
"2010","1","2799","5"
"2011","2","421","the fragile"
"2012","1","2802","120 bpm vessel"
"2066","1","2813","nthdegreemusic"
"2065","1","2813","Mellow"
"2064","1","2813","Electronica"
"2063","1","2813","mgbarker100@yahoo.com"
"2061","1","2813","Ambient"
"2062","1","2813","Chill"
"2068","1","2802","Please review it!"
"2070","1","2813","mgbarker100@yahoo.com"
"2071","1","2813","revisited"
"2249","1","2917","killer!!!"
"2073","1","966","Party Mix"
"2074","1","2505","Techno"
"2075","1","2762","Piano"
"2076","1","2762","Moody"
"2146","2","168","Jingle"
"2078","2","350","Destined 4 significance"
"2079","1","2230","hu ha! hu ha! hu ha!!"
"2081","0","0",
"2082","1","2805","Techno"
"2083","1","1596","hot"
"2084","2","98","hot"
"2085","2","222","Saw I"
"2086","2","222","Saw II"
"2087","2","222","Saw III"
"2088","2","222","Saw IV"
"2089","1","2606","awesometastic"
"2092","1","2827","alex0120129295587"
"2093","1","2827",
"2094","1","2827","www.myspace.com/alex0120"
"2095","1","2832","alex0120129295587"
"2096","1","2832",
"2097","1","2837","alex0120129295587"
"2098","1","2837",
"2099","2","391","alex0120129295587"
"2100","2","391",
"2101","1","2806","alex0120129295587"
"2102","1","2806",
"2105","2","419","Instrumental"
"2106","2","419","Quiet"
"2108","1","2787",
"2109","1","2787","Quiet"
"2110","1","2820","alex0120129295587"
"2111","1","2820",
"2112","1","2834","House Mix"
"2113","1","436","needs more cowbell!"
"2120","1","1590","myspace.com/hybridanalys"
"2119","1","1590","myspace.com/hybridanalys"
"2121","1","2737","myspace.com/hybridanalys"
"2122","1","2197","myspace.com/hybridanalys"
"2123","1","1627","myspace.com/hybridanalys"
"2124","1","1824","myspace"
"2125","2","98","nice job man"
"2126","1","2569","Techno"
"2127","1","2023","Soft New Reinterpretatio"
"2131","2","18","lo-fi"
"2132","2","18","acoustic"
"2133","2","18","folk"
"2134","2","65","gravity kills"
"2135","1","2616","Mash-up"
"2136","1","2860","d is for drum!"
"2137","1","1393","psytrance"
"2138","1","2112","weird"
"2139","1","2112","strange"
"2140","1","2112","awesome"
"2141","1","905","long remix is long"
"2142","2","439","Intense"
"2143","2","29","awesome"
"2144","1","862","reptile-ish"
"2145","1","2864","New Wave"
"2147","2","168","Party Mix"
"2148","1","2872","Energetic"
"2149","1","2872","nicely done"
"2150","1","1596","Y34RZ3R0R3M1X3D"
"2151","2","101","midi"
"2256","1","2924","Trippy"
"2255","1","2924","Cool!!!"
"2157","1","2881","epic"
"2158","1","2881","high level production"
"2159","1","2881","original"
"2160","1","2881","tag3"
"2161","2","336","MyKindOfSickness"
"2162","1","2890","derm fallen god"
"2169","1","2889","noisy"
"2167","1","2889","loud"
"2168","1","2889","drums"
"2170","1","2889","only"
"2171","1","2889","piano"
"2173","2","454","Halo 8-ish"
"2174","2","454","Midi"
"2298","1","2875","5.1 Surround Sound"
"2297","1","2875","good mix"
"2180","1","2882","HOLY SHIT!!!"
"2184","1","2118","cool beat"
"2185","1","2118","piano"
"2186","1","2118","upbeat"
"2187","1","2743","video game music"
"2188","2","456","Closer"
"2189","2","456","Disjointed"
"2190","2","456","Lewis Cato"
"2191","2","457","adam zwakk"
"2192","2","457","zwak"
"2193","2","457","kyle porter"
"2194","2","457","original"
"2195","2","457","emotional"
"2196","2","456","backwards"
"2197","1","2893","Capital G"
"2198","1","2893","Reassemble"
"2199","1","2893","Lewis Cato"
"2201","1","2863","Beats"
"2202","1","2863","Badass"
"2799","1","2569","Electronic"
"2206","1","2715","Techno"
"2208","1","2658","Techno"
"2337","1","2651","Beat storyteller"
"2374","1","2887","Techno"
"2212","1","338","chill"
"2213","2","98","mashup"
"2214","2","98","bootleg"
"2215","2","98","with boots"
"2216","1","1596","Y34RZ3R0R3M1X3D"
"2246","1","2916","Angst"
"2218","1","2863","Upbeat"
"2219","1","1763","rockin!"
"2220","1","1667","TUBAZZ"
"2222","1","1790","guitar solo"
"2223","1","1790","jazz"
"2224","1","1587","cheesy"
"2225","1","1179","awesome"
"2226","1","2834","Wave Electro Mix"
"2227","2","220","Not Retarted"
"2794","0","0",
"2230","1","2604","unsettling"
"2231","1","1900","strings"
"2232","1","1900","mellotron"
"2245","1","2914","****"
"2234","2","29","studio version"
"2235","1","1175","best remix of only ever"
"2236","1","2905","awesome"
"2237","1","1800","It's cool"
"2238","1","1800","so whiners shut the fuck"
"2239","2","29","well done sir"
"2240","2","29","well done indeed"
"2241","1","963","abstract"
"2242","1","963","interesting"
"2243","1","963","worthy"
"2244","1","2912","strings"
"2247","1","2916","In This Toilet!"
"2254","1","0","Very Loud"
"2267","1","2462","lo fi"
"2283","1","2960","amazing"
"2266","1","2462","drone"
"2282","1","2960","awesome"
"2281","1","2960","great"
"2271","1","2909","poop"
"2272","1","2909","urine"
"2273","1","2909","semen"
"2274","1","2939","magnificient"
"2275","1","2960","chilled"
"2276","1","2950","Cool"
"2284","1","2960","potato"
"2285","1","2960","urine"
"2286","1","2927","nice"
"2287","1","2942","racist"
"2288","2","156","cash"
"2289","2","156","remix"
"2290","2","156","justice"
"2761","1","2968","terror"
"2292","1","2962","Hyperpower"
"2293","1","2962","Jack"
"2294","1","2962","Jackasaurs"
"2295","1","2962","Crouchosarus"
"2296","1","2962","Year Zero"
"2299","1","2875","Bassy"
"2300","1","2875","quiet"
"2302","2","250","nekrasova"
"2303","2","250","xvs"
"2304","2","250","xvostya"
"2305","2","250","www.nin.su"
"2306","2","381","lo fi"
"2307","1","2972","Cool."
"2386","1","2980","Party Boy"
"2328","1","2930","Chocolate"
"2311","1","2907","so cool"
"2312","1","2881","under-rated"
"2314","2","147","atmospheric"
"2315","2","147","atmopheric"
"2316","1","2975","cello"
"2317","1","2975","violin"
"2318","1","2975","piano"
"2319","1","2975","orchestral"
"2320","1","2975","breakbeat"
"2384","1","2987"," Shred"
"2322","1","2899","NIN"
"2323","1","2899","Nirvana"
"2324","1","2899","Only"
"2325","1","2899","Head Like a Hole"
"2326","1","2899","Smells Like Teen Spirit"
"2327","1","2899","mashup"
"2329","1","2930","Climactic"
"2330","1","2998","Executioners song."
"2331","2","38","Funky Bass"
"2332","2","114","THX-1138"
"2333","1","2954","mashup"
"2334","1","3005","Hope he's not pissed."
"2335","1","3009","www.myspace.com/elk77"
"2336","0","0",
"2338","1","2651","BeatMaster"
"2339","1","2651","Techno"
"2340","1","2805","Nice originality"
"2341","1","2770","NIN Chronicles"
"2342","1","3007","Techno Remix Storyteller"
"2348","1","3017","dark"
"2347","1","3017","corrupted"
"2345","1","3006","extended"
"2346","1","3006","dark"
"2349","1","3017","screwed up"
"2350","1","3018","mashy= up"
"2351","1","3016","The warm up"
"2352","1","490","samples galore!"
"2353","1","464","hidden gem"
"2358","1","3025","beatmania potential"
"2359","1","3025",".. beatmania potential"
"2360","1","3025","DANCE bitch DANCE!"
"2361","1","3025","insane club mix"
"2362","1","3025","My-God-CAN this go any f"
"2363","1","3042","SHAKE YA ASS"
"2364","1","3014","Lewis Cato"
"2365","1","3014","The Hand That Feeds"
"2366","1","3014","Introduction"
"2367","2","197","Death Sex"
"2368","2","71","NOOOOOOOOOOO!!!!"
"2369","2","58","LOL NINJA STYLE!"
"2370","1","3056","nin jungle?"
"2371","1","3055","best version"
"2372","1","2965","GJ Nice"
"2373","1","3011","BASSASS"
"2375","1","2887","Excellent Beats!"
"2376","2","360","Freakin Sic!"
"2377","1","1657","www.libelulasite.com"
"2378","1","3064","dark"
"2379","1","3064","electronic"
"2380","1","3046","fragile-ish"
"2381","1","1543","easy listening"
"2382","1","1355","dancey"
"2383","1","1448","mash up"
"2385","1","2987","Metal"
"2387","1","2980","clever"
"2388","1","2980","spectrogram"
"2389","2","296","LAWLZ"
"2390","2","63","LOL"
"2391","2","63","dance hall buckfuddy!"
"2392","1","2909","shit"
"2393","1","2909","cum"
"2394","1","2909","piss"
"2395","2","237","FLIPPIN' SWEET"
"2396","1","3059","powerfullremix"
"2397","2","77","metal"
"2398","2","77","gary numan"
"2399","2","77","trent reznor"
"2400","2","77","cover"
"2401","2","77","mix"
"2402","1","3065","My Violent Heart"
"2403","1","3065","lord of sounzz"
"2404","1","3065","mix"
"2405","2","30","collector"
"2406","2","30","memorabilia"
"2407","2","30","mashup"
"2408","2","31","reptile"
"2409","2","31","liar"
"2410","2","31","Virgos Merlot"
"2411","2","31","lord of sounzz"
"2412","1","2023","irony"
"2413","1","741","mash up"
"2414","1","3023","Electronic"
"2415","1","3079","year zero in a nut shell"
"2416","1","2866","wahwah"
"2417","2","455","FUCKING HEAVY!"
"2419","1","2980","Atom Bomb Spectrogram"
"2420","1","538","There is no us apparentl"
"2422","1","2099","Castlevaina"
"2423","1","2099","Castlevainian Resistance"
"2424","2","454","NOT MIDI"
"2425","2","389","Live @ Rehearsals"
"2426","1","2937","perfect"
"2427","1","922","mash up"
"2428","1","844","hidden gem"
"2429","1","3081","Giacinda GL Compilation"
"2430","1","3083","statement?"
"2431","2","152","MIDI"
"2432","2","244","How could you?"
"2439","2","176","all of my fears came tru"
"2438","2","176","Hey mate all of my fears"
"2440","2","176","Hey"
"2441","2","176","mate"
"2442","2","176","WTF?"
"2444","1","2372","meathead-y"
"2445","1","2372","WTF"
"2449","1","792","sucks"
"2450","1","792","Stinky Meat indeed"
"2451","1","2880","Pop"
"2452","1","874","echo effect overload"
"2453","1","1816","ghostly echoes"
"2454","1","1607","mash up"
"2455","1","3075","Korn"
"2456","1","660","farm dance!"
"2457","1","2673","GREAT!!"
"2458","1","2673","ZOMGBBQZWOWZ!"
"2459","1","3011","Rox"
"2460","1","1585","dark"
"2461","1","1585","moody"
"2462","1","268","bass"
"2463","1","268","power"
"2464","1","268","rated"
"2465","1","268","hardware"
"2466","1","2800","annoying clock sounds"
"2467","1","2367","mash up"
"2468","1","3100","WOW"
"2469","1","3098","jesuschristWOWwee!"
"2470","1","3101","Techno"
"2471","2","451","original"
"2472","2","451","drums"
"2473","2","451","open source"
"2474","2","454","way over rated"
"2478","1","3025","dance club mix"
"2479","1","3025","ouch"
"2480","1","3025","wtf is this??"
"2481","1","2006","ww"
"2482","1","2080","Groove-tastic"
"2483","1","2080","Piano"
"2484","1","102","genius"
"3199","1","3003","RIP Scorpio"
"2486","2","473","fucking AWESOME"
"2487","2","473","xmas"
"2488","2","473","mashup"
"2489","2","473","funny"
"2490","2","473","parody"
"2491","1","3121","Nine Inch Maiden"
"2497","1","2057","U R Funny G"
"2495","0","0",
"2496","1","3063","Chronologue"
"2500","1","2057","Time to grab a helicopte"
"2501","1","2929","zero sum"
"2502","2","186","starfuckers mash"
"2503","1","486","bush quotes"
"2504","1","2570","metroid"
"2505","1","3130","non NIN"
"2506","1","1191","loooong"
"2507","1","1240","hidden gem"
"2508","1","2917","glitchy noises"
"2509","1","2958","the frail"
"2510","2","478","Mello"
"2511","1","3079","mash up"
"2513","1","3131","house track"
"2514","1","3131","beautiful dance track..."
"2515","2","473","xmas"
"2516","2","479","remix"
"2517","2","479","original"
"2518","2","479","adam"
"2519","2","479","zwakk"
"2520","2","479","industrial"
"2521","1","3121","mash up"
"2522","1","3129","doctor who quotes"
"2523","1","3085","cover"
"2524","1","3137","scary"
"2525","2","373","electro"
"2558","1","3144","Sic Electronica"
"2527","1","3091","Fuk ur beats R Sic"
"2528","1","3145","moody"
"2529","1","3145","dark"
"2530","1","3145","extended"
"2531","1","2910","horror"
"2532","1","2910","apocalyptic"
"2533","1","2910","intro"
"2536","1","2940","grunge"
"2537","1","2940","electronic"
"2538","1","2974","soundtrack"
"2539","1","2974","aggressive"
"2540","1","2991","distortion"
"2541","1","2991","surround"
"2542","1","2991","fear"
"2543","1","3031","mellow"
"2544","1","3031","ambient"
"2545","1","3031","anger"
"2546","1","2901","balance"
"2547","1","2901","illusion"
"2548","1","2903","dance"
"2549","1","2903","beat"
"2550","1","2903","god"
"2557","1","3144","Christian Nails"
"2556","1","3144","Maverick Techno"
"2560","1","3137","gaming sound"
"2561","1","3137","filmscore"
"2568","1","3154",":)"
"2567","1","3154"," 5"
"2565","1","3156","savage"
"2566","1","3131","Sick!"
"2569","1","3154","tag1"
"2570","1","3147","daffy duck"
"2571","1","3159","Ghetto"
"2572","1","3159","Industrial"
"2573","1","3159","addictive"
"2587","1","1531","Strong"
"2584","1","1531","Hard"
"2585","1","1531","Middle"
"2586","1","1531","Scary"
"2592","1","2004","IRAQ"
"2591","1","2004","GAZA"
"2593","1","2004","ISRAEL"
"2603","1","3164","disturbed"
"2598","2","492","source"
"2599","2","492","acappella"
"2600","2","492","vocal"
"2602","1","2099","Noisy mess"
"2604","1","3164","total diff"
"2704","1","3167","Electronica"
"2703","1","3167","techno"
"2607","1","3163","Techno Punk"
"2608","1","538","Only"
"2759","1","3170","crusaders"
"2610","1","3158","mash up"
"2611","1","3163","Breaks"
"2612","1","3163","breakbeat"
"2613","1","3163","electro"
"2614","1","3163","rock"
"2615","1","3163","drums"
"2616","1","1066","Instrumental"
"2617","1","3019","hot lips"
"2618","1","2569","lessTR"
"2619","1","525","GOD"
"2620","1","1053","mash up"
"2621","1","3176","Bass"
"2622","1","3176","Vocal"
"2757","1","3172","japan"
"2624","1","3174","lite metal"
"2625","1","3013","haunting"
"2626","1","3106","v2"
"2627","1","3106","reverb"
"2628","1","3106","finneus"
"2636","2","488","No percussion"
"2635","2","488","All Guitar"
"2634","2","488","kinda scary"
"2637","1","2777","acid mix"
"2715","2","502","Purple"
"2639","1","1497","Disco"
"2641","1","2230","Electronic"
"2643","1","3062","Leaving Hope?"
"2644","1","3062","Leving Hope?"
"2645","1","3187","through the looking glas"
"2646","1","2185","different"
"2647","1","3189","hypnosis"
"2648","1","3189","AVOTT"
"2649","1","3189","needs more drum"
"2669","2","372","Grinding"
"2666","2","372","Electric"
"2667","2","372","electric"
"2668","2","372","Finneus-J."
"2665","2","372","Finneus J."
"2670","2","372","wow"
"2671","1","3186","must lisyen"
"2672","1","3190","dark techno"
"2673","1","3190","club mix"
"2674","1","3190","expressive"
"2675","1","3191","tragic"
"2676","1","3191","smooth"
"2677","1","3191","raw"
"2678","1","3195","piano"
"2679","1","3195","destroyer"
"2680","2","490","industrial"
"2681","2","490","rock"
"2682","2","490","instrumental"
"2683","1","3203","mash up"
"2684","1","2371","mash up"
"2685","1","3208","gd"
"2701","2","511","Modern Rock"
"2712","2","507","San Mateo California"
"2688","1","3208","what the hell does gd me"
"2689","1","2672","tag 1"
"2694","1","1483","www.myspace.com/djbobafe"
"2693","1","1483","myspace.com/djbobafett"
"2695","1","3212","lustrous"
"2696","1","3212","sci-fi"
"2697","1","3212","trancy"
"2698","1","3213","final bliss"
"2699","1","3213","rapture"
"2700","1","3213","countdown"
"2702","2","511","KnewKPbackin08"
"2705","1","3167","Urban"
"2706","1","3217","apparition"
"2707","1","3217","meditation"
"2708","1","3217","half-awake"
"2714","2","502","San Mateo Remix"
"2711","2","510","San Mateo Remix"
"2713","2","507","Electronic"
"2716","2","502","West Coast W"
"2717","2","521","Dark"
"2718","1","3222","dancy"
"2719","1","3224","TGG lyrics"
"2720","1","3224","subtle"
"2721","1","3224","TGG piano"
"2722","2","522","Electronic"
"2723","1","1363","intense"
"2724","2","523","Anti Hater"
"2725","1","3226","distortion"
"2726","1","3226","death"
"2727","1","3226","grunge"
"2728","2","511","Politico"
"2732","1","600","pretty hate machine"
"2733","1","600","dancefloor"
"2734","1","600","electro"
"2735","2","520","LIVE"
"2736","1","3157","Highly mixed techno"
"2737","1","3150","Electronic/Techno"
"2738","2","481","Fill"
"2739","1","3231","fulkramick"
"2740","1","3231","Capitol Fulk"
"2741","1","3231","Capitol G"
"2742","2","525","only"
